Plate	Repeat	Well	Type	Time	Absorbance @ 600 (A)	Time	GFP (Counts)	Time	mCherry (Counts)
1	3	A01	M	01:03:10.55	0.045	01:04:03.95	478	01:05:01.13	7640
1	3	A02	M	01:03:10.87	0.040	01:04:04.31	462	01:05:01.49	8181
1	3	A03	M	01:03:11.19	0.041	01:04:04.67	462	01:05:01.85	8057
1	3	A04	M	01:03:11.51	0.048	01:04:05.03	448	01:05:02.21	6832
1	3	A05	M	01:03:11.83	0.043	01:04:05.39	472	01:05:02.57	7921
1	3	A06	M	01:03:12.15	0.041	01:04:05.75	466	01:05:02.93	8085
1	3	A07	M	01:03:12.47	0.043	01:04:06.11	514	01:05:03.29	7594
1	3	A08	M	01:03:12.79	0.045	01:04:06.47	618	01:05:03.65	7282
1	3	A09	M	01:03:13.11	0.041	01:04:06.83	474	01:05:04.02	7556
1	3	A10	M	01:03:13.43	0.044	01:04:07.19	478	01:05:04.38	7264
1	3	A11	M	01:03:13.75	0.042	01:04:07.55	546	01:05:04.74	8229
1	3	A12	M	01:03:14.07	0.042	01:04:07.91	496	01:05:05.10	7500
1	3	B01	M	01:03:16.83	0.045	01:04:10.72	432	01:05:07.91	7502
1	3	B02	M	01:03:17.15	0.041	01:04:11.08	438	01:05:08.27	7885
1	3	B03	M	01:03:17.47	0.042	01:04:11.44	446	01:05:08.63	7767
1	3	B04	M	01:03:17.79	0.045	01:04:11.80	446	01:05:08.99	7060
1	3	B05	M	01:03:18.11	0.045	01:04:12.16	454	01:05:09.35	7362
1	3	B06	M	01:03:18.43	0.043	01:04:12.52	460	01:05:09.71	7346
1	3	B07	M	01:03:18.75	0.043	01:04:12.88	476	01:05:10.07	7630
1	3	B08	M	01:03:19.07	0.044	01:04:13.24	484	01:05:10.43	7162
1	3	B09	M	01:03:19.39	0.043	01:04:13.60	474	01:05:10.79	7859
1	3	B10	M	01:03:19.71	0.046	01:04:13.96	456	01:05:11.15	6978
1	3	B11	M	01:03:20.03	0.042	01:04:14.32	540	01:05:11.51	7334
1	3	B12	M	01:03:20.35	0.044	01:04:14.69	438	01:05:11.88	7298
1	3	C01	M	01:03:23.11	0.048	01:04:17.49	476	01:05:14.68	7042
1	3	C02	M	01:03:23.43	0.043	01:04:17.85	510	01:05:15.04	7875
1	3	C03	M	01:03:23.75	0.045	01:04:18.21	510	01:05:15.40	7528
1	3	C04	M	01:03:24.07	0.046	01:04:18.57	438	01:05:15.76	7426
1	3	C05	M	01:03:24.39	0.044	01:04:18.93	442	01:05:16.12	7498
1	3	C06	M	01:03:24.71	0.043	01:04:19.29	468	01:05:16.48	7670
1	3	C07	M	01:03:25.03	0.042	01:04:19.65	458	01:05:16.84	7474
1	3	C08	M	01:03:25.35	0.038	01:04:20.01	458	01:05:17.20	8111
1	3	C09	M	01:03:25.67	0.039	01:04:20.37	484	01:05:17.56	7777
1	3	C10	M	01:03:25.99	0.042	01:04:20.73	510	01:05:17.93	7769
1	3	C11	M	01:03:26.31	0.038	01:04:21.09	444	01:05:18.29	8773
1	3	C12	M	01:03:26.63	0.037	01:04:21.46	516	01:05:18.65	8511
1	3	D01	M	01:03:29.39	0.037	01:04:24.26	428	01:05:21.45	7690
1	3	D02	M	01:03:29.71	0.034	01:04:24.62	440	01:05:21.81	8251
1	3	D03	M	01:03:30.03	0.034	01:04:24.98	484	01:05:22.17	7863
1	3	D04	M	01:03:30.35	0.039	01:04:25.34	438	01:05:22.53	7995
1	3	D05	M	01:03:30.67	0.035	01:04:25.70	414	01:05:22.90	7801
1	3	D06	M	01:03:30.99	0.034	01:04:26.06	450	01:05:23.26	8311
1	3	D07	M	01:03:31.31	0.037	01:04:26.42	534	01:05:23.62	8405
1	3	D08	M	01:03:31.63	0.036	01:04:26.78	552	01:05:23.98	8441
1	3	D09	M	01:03:31.95	0.035	01:04:27.14	622	01:05:24.34	8891
1	3	D10	M	01:03:32.27	0.038	01:04:27.50	588	01:05:24.70	7867
1	3	D11	M	01:03:32.59	0.037	01:04:27.86	692	01:05:25.06	8133
1	3	D12	M	01:03:32.91	0.036	01:04:28.23	604	01:05:25.42	8811
